timestamp,sequence,digit_moves,indicators
2025-01-26 06:17:06.835,7,Up,GOOD
2025-01-26 06:17:07.835,6,Down,GOOD
2025-01-26 06:17:08.835,1,Up,GOOD
2025-01-26 06:17:09.835,1,Up,GOOD
2025-01-26 06:17:10.835,5,Down,GOOD
2025-01-26 06:17:11.835,4,Down,GOOD
2025-01-26 06:17:12.835,9,Down,GOOD
2025-01-26 06:17:06.352,7,Up,GOOD
2025-01-26 06:17:07.352,0,Down,NEUTRAL
2025-01-26 06:17:08.352,4,Down,NEUTRAL
2025-01-26 06:17:09.352,1,Up,NEUTRAL
2025-01-26 06:17:10.352,8,Up,NEUTRAL
2025-01-26 06:17:11.352,4,Up,NEUTRAL
2025-01-26 06:17:12.352,6,Down,NEUTRAL
2025-01-26 06:17:13.352,7,Up,NEUTRAL
2025-01-26 06:17:14.352,6,Down,NEUTRAL
2025-01-26 06:17:15.352,1,Up,NEUTRAL
2025-01-26 06:17:16.352,1,Up,NEUTRAL
2025-01-26 06:17:17.352,5,Down,NEUTRAL
2025-01-26 06:17:18.352,4,Down,NEUTRAL
2025-01-26 06:17:19.352,9,Down,NEUTRAL
2025-01-26 06:17:20.352,9,Up,NEUTRAL
2025-01-26 06:17:21.352,1,Up,NEUTRAL
2025-01-26 06:17:22.352,2,Up,NEUTRAL
2025-01-26 06:17:23.352,7,Up,NEUTRAL
2025-01-26 06:17:24.352,8,Up,NEUTRAL
2025-01-26 06:17:25.352,6,Down,NEUTRAL
2025-01-26 06:17:18.811,7,Up,NEUTRAL
2025-01-26 06:17:19.811,6,Down,NEUTRAL
2025-01-26 06:17:20.811,1,Up,NEUTRAL
2025-01-26 06:17:21.811,1,Up,NEUTRAL
2025-01-26 06:17:22.811,5,Down,NEUTRAL
2025-01-26 06:17:23.811,4,Down,NEUTRAL
2025-01-26 06:17:24.811,9,Down,NEUTRAL
2025-01-26 06:17:25.811,9,Up,NEUTRAL
2025-01-26 06:17:26.811,1,Up,NEUTRAL
2025-01-26 06:17:27.811,2,Up,NEUTRAL
2025-01-26 06:17:28.811,7,Up,NEUTRAL
2025-01-26 06:17:29.811,8,Up,NEUTRAL
2025-01-26 06:17:30.811,6,Down,NEUTRAL
2025-01-26 06:17:31.811,3,Up,NEUTRAL
2025-01-26 06:17:32.811,1,Down,NEUTRAL
2025-01-26 06:17:33.811,1,Up,NEUTRAL
2025-01-26 06:17:34.811,4,Up,NEUTRAL
2025-01-26 06:17:35.811,0,Up,NEUTRAL
2025-01-26 06:17:36.811,5,Down,NEUTRAL
2025-01-26 06:17:37.811,0,Down,NEUTRAL
2025-01-26 06:17:31.325,9,Down,NEUTRAL
2025-01-26 06:17:32.325,9,Up,NEUTRAL
2025-01-26 06:17:33.325,1,Up,NEUTRAL
2025-01-26 06:17:34.325,2,Up,NEUTRAL
2025-01-26 06:17:35.325,7,Up,NEUTRAL
2025-01-26 06:17:36.325,8,Up,NEUTRAL
2025-01-26 06:17:37.325,6,Down,NEUTRAL
2025-01-26 06:17:38.325,3,Up,NEUTRAL
2025-01-26 06:17:39.325,1,Down,NEUTRAL
2025-01-26 06:17:40.325,1,Up,NEUTRAL
2025-01-26 06:17:41.325,4,Up,NEUTRAL
2025-01-26 06:17:42.325,0,Up,NEUTRAL
2025-01-26 06:17:43.325,5,Down,NEUTRAL
2025-01-26 06:17:44.325,0,Down,NEUTRAL
2025-01-26 06:17:45.325,6,Down,NEUTRAL
2025-01-26 06:17:46.325,5,Down,NEUTRAL
2025-01-26 06:17:47.325,3,Down,NEUTRAL
2025-01-26 06:17:48.325,6,Down,NEUTRAL
2025-01-26 06:17:49.325,4,Up,NEUTRAL
2025-01-26 06:17:50.325,0,Up,NEUTRAL
2025-01-26 06:17:43.821,6,Down,NEUTRAL
2025-01-26 06:17:44.821,3,Up,NEUTRAL
2025-01-26 06:17:45.821,1,Down,NEUTRAL
2025-01-26 06:17:46.821,1,Up,NEUTRAL
2025-01-26 06:17:47.821,4,Up,NEUTRAL
2025-01-26 06:17:48.821,0,Up,NEUTRAL
2025-01-26 06:17:49.821,5,Down,NEUTRAL
2025-01-26 06:17:50.821,0,Down,NEUTRAL
2025-01-26 06:17:51.821,6,Down,NEUTRAL
2025-01-26 06:17:52.821,5,Down,NEUTRAL
2025-01-26 06:17:53.821,3,Down,NEUTRAL
2025-01-26 06:17:54.821,6,Down,NEUTRAL
2025-01-26 06:17:55.821,4,Up,NEUTRAL
2025-01-26 06:17:56.821,0,Up,NEUTRAL
2025-01-26 06:17:57.821,2,Up,NEUTRAL
2025-01-26 06:17:58.821,8,Up,NEUTRAL
2025-01-26 06:17:59.821,9,Up,NEUTRAL
2025-01-26 06:18:00.821,4,Up,NEUTRAL
2025-01-26 06:18:01.821,8,Up,NEUTRAL
2025-01-26 06:18:02.821,6,Down,NEUTRAL
2025-01-26 06:17:56.276,5,Down,NEUTRAL
2025-01-26 06:17:57.276,0,Down,NEUTRAL
2025-01-26 06:17:58.276,6,Down,NEUTRAL
2025-01-26 06:17:59.276,5,Down,NEUTRAL
2025-01-26 06:18:00.276,3,Down,NEUTRAL
2025-01-26 06:18:01.276,6,Down,NEUTRAL
2025-01-26 06:18:02.276,4,Up,NEUTRAL
2025-01-26 06:18:03.276,0,Up,NEUTRAL
2025-01-26 06:18:04.276,2,Up,NEUTRAL
2025-01-26 06:18:05.276,8,Up,NEUTRAL
2025-01-26 06:18:06.276,9,Up,NEUTRAL
2025-01-26 06:18:07.276,4,Up,NEUTRAL
2025-01-26 06:18:08.276,8,Up,NEUTRAL
2025-01-26 06:18:09.276,6,Down,NEUTRAL
2025-01-26 06:18:10.276,7,Up,NEUTRAL
2025-01-26 06:18:11.276,8,Up,NEUTRAL
2025-01-26 06:18:12.276,9,Down,NEUTRAL
2025-01-26 06:18:13.276,5,Up,NEUTRAL
2025-01-26 06:18:14.276,4,Up,NEUTRAL
2025-01-26 06:18:15.276,9,Down,NEUTRAL
2025-01-26 06:18:08.759,0,Up,NEUTRAL
2025-01-26 06:18:09.759,2,Up,NEUTRAL
2025-01-26 06:18:10.759,8,Up,NEUTRAL
2025-01-26 06:18:11.759,9,Up,NEUTRAL
2025-01-26 06:18:12.759,4,Up,NEUTRAL
